Individual,Plot,wet.wt,dr.wt,area,area.consumed,herbivory.perc,toughness
ALNINC_SH_1_1,1,1.127,0.47388,68.278,0.009,0.014,0.43
ALNINC_SH_1_2,1,0.99169,0.41471,61.072,0.002,0.003,0.3
BETALL_WM_8_1,1,0.60494,0.2521,40.118,0.002,0.004,0.3
BETALL_WM_8_2,1,0.55706,0.21997,39.103,0.036,0.93,0.32
BETPOP_WM_7_1,1,0.27052,0.10345,18.037,0.015,0.081,0.4
BETPOP_WM_7_2,1,0.26688,0.11575,21.515,0.025,0.116,0.47
BETPAP_GR_5_1,1,0.38327,0.18971,33.577,0,0,0.27
BETPAP_GR_5_2,1,1.735,0.67751,61.49,0,0.001,0.59
ALNINC_WM_2A_1,1,1.267,0.55212,77.329,0.001,0.001,0.23
ALNINC_WM_2A_2,1,1.585,0.68824,87.946,0.94,1.068,0.33
ALNINC_GR_11_1,1,1.5542,0.67794,84.132,0.002,0.002,0.44
ALNINC_GR_11_2,1,1.285,0.54904,71.573,0.033,0.046,0.38
BETPAP_SH_1A_1,1,1.362,0.56235,67.757,1.057,1.559,0.36
BETPAP_SH_1A_2,1,1.04,0.42715,57.242,0.009,0.016,0.33
BETPOP_HF_3_1,1,0.2665,0.10422,17.63,0.003,0.019,0.57
BETPOP_HF_3_2,1,0.41564,0.17468,28.725,0.034,0.118,0.45
ALNINC_WM_5_1,1,1.19106,0.50016,72.241,0.006,0.009,0.35
ALNINC_WM_5_2,1,1.31333,0.57445,68.003,0,0,0.31
ALNINC_WM_1_1,1,1.06501,0.43107,61.935,0,0,0.29
ALNINC_WM_1_2,1,0.66037,0.28884,45.096,0.005,0.01,0.32
ALNINC_HF_2_1,1,0.72,0.30168,48.054,0.003,0.006,0.23
ALNINC_HF_2_2,1,1.0108,0.428,70.427,2.896,4.112,0.23
ALNINC_HF_1_1,1,1.1772,0.52315,63.128,0.01,0.017,0.41
ALNINC_HF_1_2,1,1.2804,0.53178,61.36,0.248,0.404,0.45
BETALL_GR_12_1,1,0.44343,0.18107,23.736,0,0.001,0.46
BETALL_GR_12_2,1,1.17567,0.5428,66.717,0.012,0.017,0.51
ALNINC_WM_2B_1,1,0.81257,0.37132,48.009,0,0,0.48
ALNINC_WM_2B_2,1,1.15,0.52869,66.439,0,0.001,0.46
BETPOP_GR_5_1,1,0.59162,0.261,39.449,0.117,0.297,0.47
BETPOP_GR_5_2,1,0.62117,0.25606,45.163,0.142,0.314,0.49
BETPAP_SH_1B_1,1,0.8003,0.34373,39.434,0.001,0.002,0.53
BETPAP_SH_1B_2,1,1.11337,0.48085,51.806,0.006,0.011,0.35
BETALL_GR_13_1,1,0.834,0.33889,42.506,0.001,0.003,0.4
BETALL_GR_13_2,1,0.37315,0.15825,24.67,0.001,0.003,0.36
ALNINC_WM_5B_1,2,0.98407,0.4307,59.806,0.005,0.008,0.52
ALNINC_WM_5B_2,2,1.11534,0.49442,71.294,0.102,0.143,0.47
AMECAN_GR_10_1,2,0.08484,0.04497,6.521,0.001,0.008,0.46
AMECAN_GR_10_2,2,0.15342,0.07955,9.023,0,0.004,0.4
BETPOP_HF_1_1,2,0.4822,0.21601,33.558,0.103,0.307,0.49
BETPOP_HF_1_2,2,0.29771,0.13415,21.023,0.026,0.122,0.56
BETPAP_GR_5B_1,2,0.31107,0.12613,20.174,0,0.002,0.44
