 ,Label,Area,Perim.
1,MYRGAL_GR_8A_1_P4.jpg,5.263,11.489
2,MYRGAL_GR_8A_2_P4.jpg,5.672,11.850
3,MYRGAL_GR_8B_1_P4.jpg,4.759,11.103
4,MYRGAL_GR_8B_2_P4.jpg,4.877,11.345
5,MYRGAL_GR_8C_1_P4.jpg,3.585,9.650
6,MYRGAL_GR_8C_2_P4.jpg,6.268,13.281
7,MYRGAL_GR_8D_1_P4.jpg,3.512,9.352
8,MYRGAL_GR_8D_2_P4.jpg,6.050,11.997
9,MYRGAL_SH_1_1_P8.jpg,2.768,8.458
10,MYRGAL_SH_1_2_P8.jpg,3.304,9.097
11,MYRGAL_SH_1A_1_P4.jpg,3.652,9.705
12,MYRGAL_SH_1A_2_P4.jpg,3.894,9.955
13,MYRGAL_SH_1B_1_P4.jpg,3.649,9.614
14,MYRGAL_SH_1B_2_P4.jpg,4.128,9.791
15,MYRGAL_SH_2_1_P8.jpg,3.729,9.248
16,MYRGAL_SH_2_2_P8.jpg,3.029,8.893
17,MYRGAL_SH_2A_1_P4.jpg,4.545,11.033
18,MYRGAL_SH_2A_2_P4.jpg,4.391,10.773
19,MYRGAL_SH_2B_1_P4.jpg,2.132,7.832
20,MYRGAL_SH_2B_2_P4.jpg,2.559,8.301
21,MYRGAL_SH_99_1_P14.jpg,2.931,8.351
22,MYRGAL_SH_99_2_P14.jpg,3.162,8.452
23,MYRGAL_WM_6_1_P14.jpg,3.551,9.296
24,MYRGAL_WM_6_2_P14.jpg,4.775,10.819
25,MYRGAL_WM_6A_1_P4.jpg,3.912,9.346
26,MYRGAL_WM_6A_2_P4.jpg,5.717,11.369
27,MYRGAL_WM_6A_1_P8.jpg,4.802,10.970
28,MYRGAL_WM_6A_2_P8.jpg,4.483,10.760
29,MYRGAL_WM_6A_1_P11.jpg,4.070,9.381
30,MYRGAL_WM_6A_2_P11.jpg,6.886,12.226
31,MYRGAL_WM_6B_1_P4.jpg,2.605,7.664
32,MYRGAL_WM_6B_2_P4.jpg,3.399,8.696
33,MYRGAL_WM_6B_1_P8.jpg,6.880,12.611
34,MYRGAL_WM_6B_2_P8.jpg,5.180,11.233
35,MYRGAL_WM_6B_1_P11.jpg,2.376,8.111
36,MYRGAL_WM_6B_2_P11.jpg,2.609,7.877
