 ,Label,Area,Perim.
1,SPIALB_GR_3_1_P4.jpg,6.345,13.871
2,SPIALB_GR_3_2_P4.jpg,7.248,13.757
3,SPIALB_GR_3_1_P8.jpg,6.993,13.72
4,SPIALB_GR_3_2_P8.jpg,6.214,12.98
5,SPIALB_GR_5_1_P8.jpg,6.298,13.519
6,SPIALB_GR_5_2_P8.jpg,6.435,13.947
7,SPIALB_GR_7_1_P4.jpg,6.973,13.499
8,SPIALB_GR_7_2_P4.jpg,10.334,16.433
9,SPIALB_GR_9_1_P8.jpg,5.516,11.536
10,SPIALB_GR_9_2_P8.jpg,7.194,13.598
11,SPIALB_GR_12_1_P4.jpg,3.581,9.046
12,SPIALB_GR_12_2_P4.jpg,5.744,12.008
13,SPIALB_GR_12A_1_P8.jpg,6.464,11.975
14,SPIALB_GR_12A_2_P8.jpg,6.444,11.838
15,SPIALB_GR_12B_1_P8.jpg,7.312,13.012
16,SPIALB_GR_12B_2_P8.jpg,5.749,12.139
17,SPIALB_HF_1_1_P4.jpg,8.727,14.909
18,SPIALB_HF_1_2_P4.jpg,8.965,14.942
19,SPIALB_HF_2_1_P8.jpg,4.949,10.671
20,SPIALB_HF_2_2_P8.jpg,7.862,14.334
21,SPIALB_HF_3_1_P8.jpg,5.931,14.173
22,SPIALB_HF_3_2_P8.jpg,7.466,15.154
23,SPIALB_HF_4_1_P4.jpg,2.892,8.173
24,SPIALB_HF_4_2_P4.jpg,5.534,12.655
25,SPIALB_HF_4A_1_P11.jpg,5.405,13.05
26,SPIALB_HF_4A_2_P11.jpg,7.801,15.897
27,SPIALB_HF_4B_1_P11.jpg,3.178,9.508
28,SPIALB_HF_4B_2_P11.jpg,3.961,11.301
29,SPIALB_HF_8_1_P4.jpg,8.378,15.345
30,SPIALB_HF_8_2_P4.jpg,9.485,16.172
31,SPIALB_HF_10_1_P11.jpg,4.604,11.977
32,SPIALB_HF_10_2_P11.jpg,6.252,13.447
33,SPIALB_SH_1_1_P4.jpg,7.163,13.597
34,SPIALB_SH_1_2_P4.jpg,7.163,13.632
35,SPIALB_SH_4A_1_P4.jpg,7.22,12.957
36,SPIALB_SH_4A_2_P4.jpg,8.152,13.744
37,SPIALB_SH_4B_1_P4.jpg,4.25,11.485
38,SPIALB_SH_4B_2_P4.jpg,4.296,12.134
39,SPIALB_SH_7_1_P4.jpg,9.002,15.91
40,SPIALB_SH_7_2_P4.jpg,9.826,16.659
41,SPIALB_SH_7A_1_P8.jpg,7.271,15.624
42,SPIALB_SH_7A_2_P8.jpg,8.496,16.852
43,SPIALB_SH_7B_1_P8.jpg,5.484,12.304
44,SPIALB_SH_7B_2_P8.jpg,5.57,12.689
45,SPIALB_SH_8_1_P4.jpg,6.218,15.282
46,SPIALB_SH_8_2_P4.jpg,7.006,16.772
47,SPIALB_SH_9A_1_P4.jpg,6.162,14.124
48,SPIALB_SH_9A_2_P4.jpg,7.131,15.371
49,SPIALB_SH_9B_1_P4.jpg,4.872,10.875
50,SPIALB_SH_9B_2_P4.jpg,7.621,14.732
51,SPIALB_WM_2A_1_P4.jpg,6.818,14.234
52,SPIALB_WM_2A_2_P4.jpg,8.036,13.963
53,SPIALB_WM_2A_1_P11.jpg,3.28,8.779
54,SPIALB_WM_2A_2_P11.jpg,2.884,8.046
55,SPIALB_WM_2B_1_P4.jpg,4.951,13.711
56,SPIALB_WM_2B_2_P4.jpg,5.87,13.433
57,SPIALB_WM_4A_1_P11.jpg,6.334,12.516
58,SPIALB_WM_4A_2_P11.jpg,8.057,14.155
59,SPIALB_WM_4B_1_P11.jpg,5.926,12.419
60,SPIALB_WM_4B_2_P11.jpg,7.312,13.22
61,SPIALB_WM_4C_1_P11.jpg,6.32,12.97
62,SPIALB_WM_4C_2_P11.jpg,8.116,14.356
63,SPIALB_WM_5_1_P11.jpg,6.831,14.521
65,SPIALB_WM_5_2_P11.jpg,6.682,15.249
66,SPIALB_WM_7A_1_P4.jpg,9.241,15.54
67,SPIALB_WM_7A_2_P4.jpg,8.999,16.149
68,SPIALB_WM_7A_1_P8.jpg,9.547,16.451
69,SPIALB_WM_7A_2_P8.jpg,6.939,13.222
70,SPIALB_WM_7B_1_P4.jpg,6.959,13.627
71,SPIALB_WM_7B_2_P4.jpg,6.999,14.581
72,SPIALB_WM_7B_1_P8.jpg,3.759,12.124
74,SPIALB_WM_7B_2_P8.jpg,6.251,13.714
