 ,Label,Area,Perim.,Angle,Length
1,SPITOM_GR_1_1_P8.jpg,4.33,9.282,0,0
2,SPITOM_GR_1_2_P8.jpg,2.04,6.244,0,0
3,SPITOM_GR_1_1_P11.jpg,3.983,9.24,0,0
4,SPITOM_GR_1_2_P11.jpg,4.8,9.828,0,0
5,SPITOM_GR_1A_1_P11.jpg,3.159,8.246,0,0
6,SPITOM_GR_1A_2_P11.jpg,8.587,13.75,0,0
7,SPITOM_GR_1B_1_P11.jpg,4.232,9.563,0,0
8,SPITOM_GR_1B_2_P11.jpg,3.991,9.015,0,0
9,SPITOM_GR_2A_1_P8.jpg,1.582,5.419,0,0
10,SPITOM_GR_2A_2_P8.jpg,3.613,8.361,0,0
11,SPITOM_GR_2B_1_P8.jpg,4.609,10.09,0,0
12,SPITOM_GR_2B_2_P8.jpg,4.759,9.915,0,0
13,SPITOM_GR_2C_1_P8.jpg,3.867,10.83,0,0
14,SPITOM_GR_2C_2_P8.jpg,2.922,8.137,0,0
15,SPITOM_GR_2D_1_P8.jpg,4.394,9.241,0,0
16,SPITOM_GR_2D_2_P8.jpg,3.044,7.827,0,0
17,SPITOM_HF_5_1_P11.jpg,1.441,5.109,0,0
18,SPITOM_HF_5_2_P11.jpg,1.495,5.304,0,0
19,SPITOM_HF_6_1_P11.jpg,2.403,6.82,0,0
20,SPITOM_HF_6_2_P11.jpg,4.969,10.119,0,0
21,SPITOM_HF_6A_2_P8.jpg,6.297,11.2,0,0
22,SPITOM_HF_6A_1_P8.jpg,2.281,6.687,0,0
23,SPITOM_HF_9A_1_P8.jpg,2.797,7.211,0,0
24,SPITOM_HF_9A_2_P8.jpg,5.126,10.675,0,0
25,SPITOM_HF_9B_1_P8.jpg,1.962,6.332,0,0
26,SPITOM_HF_9B_2_P8.jpg,6.055,10.957,0,0
27,SPITOM_HF_13_1_P8.jpg,3.957,8.727,0,0
28,SPITOM_HF_13_2_P8.jpg,3.923,8.97,0,0
29,SPITOM_SH_9_1_P4.jpg,3.951,9.077,0,0
30,SPITOM_SH_9_2_P4.jpg,5.012,10.409,0,0
31,SPITOM_SH_99_1_P4.jpg,2.492,7.098,0,0
32,SPITOM_SH_99_2_P4.jpg,2.882,7.646,0,0
33,SPITOM_SH_99_1_P11.jpg,1.216,5.041,0,0
34,SPITOM_SH_99_2_P11.jpg,4.554,9.92,0,0
35,SPITOM_SH_99B_1_P11.jpg,3.062,8.341,0,0
36,SPITOM_SH_99B_2_P11.jpg,3.87,9.297,0,0
37,SPITOM_SH_99C_1_P11.jpg,1.156,4.72,0,0
38,SPITOM_SH_99C_2_P11.jpg,4.119,9.513,0,0
39,SPITOM_SH_99D_2_P11.jpg,3.747,9.07,0,0
42,SPITOM_SH_99D_1_P11.jpg,1.332,5.382,0,0
43,SPITOM_SH_99E_1_P11.jpg,2.959,8.54,0,0
44,SPITOM_SH_99E_2_P11.jpg,3.811,9.137,0,0
45,SPITOM_WM_4A_1_P8.jpg,2.149,6.291,0,0
46,SPITOM_WM_4A_2_P8.jpg,3.523,8.277,0,0
47,SPITOM_WM_4B_1_P8.jpg,1.738,5.726,0,0
48,SPITOM_WM_4B_2_P8.jpg,2.397,7.087,0,0
49,SPITOM_WM_5_1_P8.jpg,4.642,9.874,0,0
50,SPITOM_WM_5_2_P8.jpg,5.772,10.263,0,0
51,SPITOM_WM_5A_1_P4.jpg,7.221,11.828,0,0
52,SPITOM_WM_5A_2_P4.jpg,14.031,15.526,0,0
53,SPITOM_WM_5B_1_P4.jpg,7.105,11.902,0,0
54,SPITOM_WM_5B_2_P4.jpg,9.041,13.972,0,0
55,SPITOM_WM_5C_1_P4.jpg,4.996,12.42,0,0
56,SPITOM_WM_5C_2_P4.jpg,5.648,10.349,0,0
57,SPITOM_WM_5D_1_P4.jpg,2.008,5.809,0,0
58,SPITOM_WM_5D_2_P4.jpg,2.956,7.182,0,0
59,SPITOM_WM_5E_1_P4.jpg,3.198,8.055,0,0
60,SPITOM_WM_5E_2_P4.jpg,3.572,8.467,0,0
62,VACMYR_10C_1_P13.jpg,1.465,5.563,0,0
63,VACMYR_10C_2_P13.jpg,2.438,6.93,0,0
64,VACMYR_GR_10A_1_P13.jpg,1.749,5.881,0,0
65,VACMYR_GR_10A_2_P13.jpg,1.823,5.86,0,0
66,VACMYR_GR_10B_1_P13.jpg,0.814,3.677,0,0
67,VACMYR_GR_10B_2_P13.jpg,0.751,4.002,0,0
68,VACMYR_WM_5_1_P13.jpg,1.797,5.935,0,0
69,VACMYR_WM_5_2_P13.jpg,1.759,6.505,0,0
