 ,Label,Area,Perim.
1,BETPAP_GR_5B_1_P2.jpg,9.811,18.916
2,BETPAP_GR_5B_2_P2.jpg,16.427,21.51
3,BETPAP_GR_8_1_P3.jpg,13.241,16.947
4,BETPAP_GR_8_2_P3.jpg,16.933,21.479
5,BETPAP_GR_8_1_P5.jpg,12.518,20.955
6,BETPAP_GR_8_2_P5.jpg,33.598,34.039
8,BETPAP_GR_8_1_P6.jpg,18.414,23.319
9,BETPAP_GR_8_2_P6.jpg,15.402,19.462
10,BETPAP_GR_8_1_P12.jpg,18.924,23.407
11,BETPAP_GR_8_2_P12.jpg,24.922,28.502
12,BETPAP_GR_9_1_P9.jpg,55.928,35.202
13,BETPAP_GR_9_2_P9.jpg,51.924,35.934
14,BETPAP_HF_16_1_P2.jpg,86.626,48.278
15,BETPAP_HF_16_2_P2.jpg,95.456,47.546
16,BETPAP_HF_16_1_P3.jpg,40.646,32.74
17,BETPAP_HF_16_2_P3.jpg,52.955,36.651
18,BETPAP_HF_16_1_P5.jpg,63.019,39.427
19,BETPAP_HF_16_2_P5.jpg,65.08,42.019
20,BETPAP_HF_16_1_P12.jpg,10.343,17.691
21,BETPAP_HF_16_2_P12.jpg,39.591,32.92
22,BETPAP_HF_16A_1_P6.jpg,50.001,35.987
23,BETPAP_HF_16A_2_P6.jpg,48.521,35.389
24,BETPAP_HF_16B_1_P6.jpg,32.098,31.164
25,BETPAP_HF_16B_2_P6.jpg,52.524,38.645
26,BETPAP_SH_1_1_P1.jpg,46.364,37.222
27,BETPAP_SH_1_2_P1.jpg,66.527,43.797
28,BETPAP_SH_1A_1_P1.jpg,37.068,27.806
29,BETPAP_SH_1A_2_P1.jpg,49.537,33.945
31,BETPOP_GR_3_1_P6.jpg,24.875,28.13
32,BETPOP_GR_3_2_P6.jpg,28.279,34.385
33,BETPOP_GR_3_1_P16.jpg,23.949,28.009
34,BETPOP_GR_3_2_P16.jpg,24.277,27.716
35,BETPOP_GR_5_1_P1.jpg,26.2,27.549
36,BETPOP_GR_5_2_P1.jpg,28.34,27.255
37,BETPOP_GR_5_1_P6.jpg,23.615,29.569
38,BETPOP_GR_5_2_P6.jpg,22.529,29.636
39,BETPOP_GR_5A_1_P3.jpg,21.155,23.852
40,BETPOP_GR_5A_2_P3.jpg,26.081,28.318
41,BETPOP_GR_5B_1_P3.jpg,25.746,29.553
42,BETPOP_GR_5B_2_P3.jpg,27.189,28.849
43,BETPOP_GR_5B_1_P12.jpg,26.34,29.497
44,BETPOP_GR_5B_2_P12.jpg,39.59,33.029
45,BETPOP_GR_5C_1_P12.jpg,12.107,18.433
46,BETPOP_GR_5C_2_P12.jpg,23.488,25.106
47,BETPOP_GR_A_1_P12.jpg,17.394,24.863
48,BETPOP_GR_A_2_P12.jpg,30.23,29.775
49,BETPOP_HF_1_1_P2.jpg,19.739,26.335
50,BETPOP_HF_1_2_P2.jpg,21.472,27.124
51,BETPOP_HF_1_1_P3.jpg,16.081,22.207
52,BETPOP_HF_1_2_P3.jpg,17.129,23.13
53,BETPOP_HF_3_1_P1.jpg,15.022,23.206
54,BETPOP_HF_3_2_P1.jpg,19.937,27.923
55,BETPOP_HF_3A_1_P6.jpg,15.628,22.577
56,BETPOP_HF_3A_2_P6.jpg,33.887,34.01
57,BETPOP_HF_3B_1_P6.jpg,24.369,28.89
58,BETPOP_HF_3B_2_P6.jpg,24.434,30.746
59,BETPOP_HF_4_1_P9.jpg,12.472,20.479
60,BETPOP_HF_4_2_P9.jpg,14.565,23.182
61,BETPOP_HF_5_1_P2.jpg,17.493,23.51
62,BETPOP_HF_5_2_P2.jpg,17.585,26.363
63,BETPOP_HF_5_1_P6.jpg,21.969,27.16
64,BETPOP_HF_5_2_P6.jpg,24.446,26.154
65,BETPOP_WM_7_1_P1.jpg,19.219,27.165
66,BETPOP_WM_7_2_P1.jpg,20.927,28.445
67,BETPOP_WM_7_1_P2.jpg,25.672,28.299
68,BETPOP_WM_7_2_P2.jpg,26.556,29.264
69,BETPOP_WM_7_1_P3.jpg,26.908,30.051
70,BETPOP_WM_7_2_P3.jpg,30.994,35.365
71,BETPOP_WM_7_1_P6.jpg,21.425,28.489
72,BETPOP_WM_7_2_P6.jpg,20.862,27.826
73,BETPOP_WM_7_1_P9.jpg,18.413,24.916
74,BETPOP_WM_7_2_P9.jpg,23.333,27.921
75,BETPOP_WM_7_1_P15.jpg,18.638,24.457
76,BETPOP_WM_7_2_P15.jpg,24.993,28.044
77,BETPOP_WM_8_1_P15.jpg,14.964,25.211
78,BETPOP_WM_8_2_P15.jpg,18.888,27.08
79,BETPOP_WM_8_1_P16.jpg,23.117,27.306
80,BETPOP_WM_8_2_P16.jpg,33.974,38.872
81,BETPOP_WM_9_1_P15.jpg,18.069,22.261
82,BETPOP_WM_9_2_P15.jpg,22.486,25.807
